patho_niv1;libelle_comorbidite;annee;ntop;ncomorb;proportion_comorb;niveau_prioritaire
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2017;191160;138840;0.726;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2019;196620;142690;0.726;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2018;193600;140220;0.724;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2016;186850;134840;0.722;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2020;175870;126530;0.719;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2015;184340;132350;0.718;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2021;183200;131440;0.717;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2019;3046350;1901400;0.624;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2020;2990600;1866550;0.624;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2018;3152890;1960890;0.622;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2017;3317910;2052300;0.619;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2021;3086930;1902980;0.616;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2016;3513590;2157660;0.614;3
Traitements du risque vasculaire (hors pathologies);Traitements antihypertenseurs (hors pathologies);2015;3751070;2275600;0.607;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;330730;168040;0.508;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2019;854720;427770;0.5;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2018;854060;427110;0.5;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2017;848240;423510;0.499;2
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;324360;160610;0.495;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2016;828580;407710;0.492;2
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2019;315810;155150;0.491;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2021;833500;408840;0.491;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2020;837460;409250;0.489;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2015;808730;394050;0.487;2
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2018;319820;155580;0.486;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2017;321440;155210;0.483;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;331160;159810;0.483;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;327430;157480;0.481;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2020;324360;153110;0.472;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2021;330730;156060;0.472;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2015;331160;155480;0.47;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2017;321440;149920;0.466;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2016;327430;152280;0.465;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2018;319820;148650;0.465;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2019;315810;146640;0.464;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2018;52190;23450;0.449;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2019;54880;24640;0.449;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2017;49070;21930;0.447;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2016;46620;20810;0.446;3
Insuffisance rénale chronique terminale;Diabète;2021;56880;25130;0.442;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2015;45210;19960;0.441;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2020;57160;25190;0.441;3
Insuffisance rénale chronique terminale;Diabète;2020;56130;24570;0.438;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2018;660460;286890;0.434;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2021;58890;25550;0.434;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2017;657080;284670;0.433;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2019;658110;285080;0.433;3
Insuffisance rénale chronique terminale;Diabète;2019;54600;23520;0.431;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2018;147710;63350;0.429;2
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2017;140910;60390;0.429;2
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2019;152890;65480;0.428;2
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2016;134860;57700;0.428;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2020;661590;282710;0.427;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2021;650300;277400;0.427;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2016;641730;272880;0.425;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2015;129700;55040;0.424;2
Insuffisance rénale chronique terminale;Diabète;2018;53400;22550;0.422;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2020;156950;66100;0.421;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2015;624390;261700;0.419;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2017;91840;38460;0.419;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2016;88240;36880;0.418;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2018;95520;39900;0.418;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2019;98010;40850;0.417;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2015;2936160;1223600;0.417;3
Insuffisance rénale chronique terminale;Diabète;2017;52030;21680;0.417;3
